I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
522,1248952150,1483749216,289987400,1821884,325736700,1570861,2019700,9079
523,878526806,1018436379,51581500,389349,38670899,209378,1547700,5168
524,2962207371,271243716,199730000,1287356,116812701,669243,1742200,8755
525,3898443810,281412072,179456599,1220434,106957100,648405,1240000,6576
526,670682275,2046506832,278560800,1451634,186273600,884769,1422801,6195
527,20839567,1170902853,329593700,1920451,398977001,1941359,2963800,8981
528,277452147,1591303021,124113800,893168,68843401,384113,838401,3346
529,472213080,660742336,337655800,2264511,415370800,1995191,2130600,8240
530,2269954771,21455852,133783700,925153,56347199,341986,1117500,5658
531,1601716473,534339120,54175401,413176,63534300,429035,1108400,5602
532,527255596,4355220972,204962400,1258716,96453699,582148,1384900,7597
533,1847435485,422669668,162433801,1103858,73981300,462826,1690100,9013
534,577473479,3503711921,318422199,2073372,361532201,1726294,1833901,7859
535,1325258407,4431610843,143376200,942618,71447900,452354,1334300,6722
536,256287160,4874008725,83850801,635725,54011399,393330,978901,3430
537,310879708,1268214253,287290100,1792731,342054201,1709867,2101300,10441
538,1432281235,3090289280,100046301,674785,74649000,480620,686700,3188
539,1028727658,33153149,205636500,1315130,136611200,549073,30619101,7746
540,3982769102,288393112,361814300,1945747,479655700,2020259,3705000,10688
541,1151760129,1070276261,34095400,272776,33997600,189710,718100,3485
