I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
95,318238738,288313436,392819499,2079517,554492299,2009456,2344299,8210
96,309866609,298795463,400086100,2168029,493073999,1806242,1356800,6300
97,301999540,488580461,377666300,1434986,224339000,807034,2215001,7617
98,1722795296,2558482940,159470001,972510,437643999,1693365,2402800,11578
99,1217765029,3890243533,33087000,206850,17612199,109472,637701,2675
100,244153928,746868973,237641901,1368945,229836101,892345,1990700,6903
101,2598009482,968503775,541466901,2230714,442223000,1582241,4150100,9486
102,278685838,3327703361,240563199,1371081,565093801,2130392,2344801,10253
103,1311133515,2118398591,209591500,1076755,168119301,630292,1862801,8834
104,3587994438,4788404914,381204900,1910767,484934999,1828571,2497800,8587
105,349151126,4927538270,8732800,63809,34593300,193743,587200,2596
106,4477474999,4251534673,327517300,1793486,467461001,1577143,2071400,8775
107,1203274468,253424761,193886299,1058584,175309900,788806,1366000,6048
108,2327005530,1079727064,460110200,2220775,461838199,1950780,3604900,8741
109,3619147663,3735248896,447702600,2106659,421392200,1746398,1979300,8844
110,1806911093,1302474467,16102201,122440,12923201,88104,641800,3099
111,3141809977,1350812668,128515601,808045,88497500,462925,1479399,8193
112,4927619302,280682783,266439899,1321274,245782900,757940,1722200,6101
113,567350459,30945279,51382101,322085,97018600,484720,1311600,5331
114,3174696596,1081960609,234861200,1297132,140249800,616821,2070900,9642
115,3145405743,426957832,16048100,114135,16756800,81427,871799,3202
116,1108977734,460404192,10521001,78906,9622399,62282,467700,1590
117,4577881423,3163558805,25409800,163002,12426900,72072,645500,2233
118,3357358330,277992649,390828601,2071095,333351300,1325484,1689500,7991
119,2570413711,1222133461,135278200,831906,69861099,333823,2917399,6094
120,287512621,1414519930,463994501,2318652,269578200,1132808,1577300,7001
121,3344079551,2050294524,106773300,668846,67105500,355255,1825800,7879
122,174028833,1128303681,446951300,1930401,619724999,2055531,2404901,8431
123,2446832953,1895349067,361390000,1916338,463066201,1767057,2374200,8932
124,1751822594,3888323003,178013100,1094196,90389200,479483,1474899,7212
125,2588080727,284900424,114349400,773866,178294800,839794,1879499,7387
126,1143831092,409147627,429331599,2380280,526805800,2032007,2378601,8699
127,277561593,904022728,507886499,2316884,540841900,1943324,2342600,9444
128,4717520881,1148956010,23830301,166362,13501001,85458,405900,1560
129,2072598579,1579916644,234565400,1435887,466126201,1805697,1950501,9614
130,2717217469,2035497017,358872901,1720735,244476600,1189265,2216800,9718
131,1250668399,261727617,144066399,941966,288204400,1304036,1743301,8269
132,523234442,5216111214,357906700,1971852,513358000,1968273,1917100,9133
133,1471781579,2606351670,146158601,916646,343524900,1653212,1632900,7836
134,2497527841,29971943,407204600,2105033,432634500,1965648,3589000,8858
135,12643154,2674389563,272542500,1411299,238143699,1095805,1825700,7637
136,442298386,3739701016,410535200,2274918,474466900,2045271,45956901,12677
137,656632773,2904679194,312398800,1685312,441942201,1816459,2181000,9918
138,4828918670,1102728259,790500,7661,592599,4878,94600,320
139,2292998247,1608712680,224756199,954992,103142500,489635,1437201,6850
140,624617617,685780886,45876599,320488,51473500,278889,1013000,4874
141,1278029565,490369801,149974600,949543,227406099,1189743,2260701,11882
142,5385760247,2386737092,385436200,2272521,433386401,2052507,1974100,8848
143,1305952299,1990774969,213658100,1444047,150711000,778636,1007900,4601
144,308611114,433632311,200256900,1241743,128313399,665466,1350700,6927
145,3759074127,1404942391,354427900,2061714,447381800,2026514,1953400,7821
146,4329791734,611222952,224294500,1274728,180302600,670124,1492600,6961
147,311652863,3308668055,91470699,568599,61572701,296042,1362200,5695
148,440902295,1578709971,70785800,410723,43961500,212388,937100,4025
149,4713936581,1100397789,103116599,612713,66394001,298289,1054500,4384
150,1920814291,371780759,245575599,1233949,148934300,682162,1658000,7490
151,356728251,4619396322,218165900,1087668,111476601,537245,1895401,8841
152,2507391927,1092063578,226287200,1367110,120619000,509978,1520400,7213
153,287703031,25248461,62041600,347696,73260301,393778,2669099,4904
154,3145386569,1818608257,93081000,556675,66302700,316284,1932800,7550
155,2065623577,1131209901,191149899,1243674,290986400,1382436,1584500,7368
156,265886368,201470214,101852699,724273,64259800,376728,1314100,5301
157,280107074,2493506647,215267701,1279808,102682000,581270,1439899,7310
158,1375635695,2310196392,114808600,798225,58214800,370240,1426300,7547
159,1607403765,3798243756,91499399,659973,61287000,373445,1705800,9423
160,1546317569,4580850674,321621800,2003977,450524400,2047564,2322600,11198
161,3743928186,26526785,369724800,1970572,356990300,1597993,2569600,10166
162,2552299023,2283372148,80091900,548165,23003701,154771,789200,3229
163,76762117,770356661,361472300,2159613,150737600,820483,1438400,7374
164,5385760454,3192234749,217616299,995628,83575300,443172,1249800,5806
165,3964727368,1212372689,357586500,1860533,477702901,1841320,3264101,11767
